p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
-2.2985282854835773,10.0,154.4133708970593,0.190685148228674,7.8921568627450975,10.0,46.71,24.382116
-8.654243631591488,10.0,154.4133708970593,4.87973382766992,6.2254901960784315,5.0917239294041,36.12,24.382116
-10.0,10.0,154.4133708970593,6.078431372549019,6.078431372549019,5.598513141585787,29.03,24.382116
-10.0,10.0,154.4133708970593,4.362745098039216,4.362745098039216,3.183248922049508,29.75,24.399513
-7.915971376458923,10.0,154.4133708970593,1.2983243176353945,3.382352941176471,4.6110400326455645,29.88,29.879168
-10.0,10.0,154.4133708970593,2.6960784313725483,2.6960784313725488,3.6243564887415554,27.93,27.929506
-7.441005936895086,10.0,154.4133708970593,-0.45115092585001193,2.107843137254902,2.856210776780541,25.21,28.403206
-4.910167057385848,10.0,154.4133708970593,-3.5212054916337605,1.5686274509803921,3.920212221353972,25.34,28.403206
-9.974676873639247,10.0,154.4133708970593,1.2491866775608145,1.274509803921568,0.0,27.74,27.740831
-10.0,10.0,154.4133708970593,0.5882352941176467,0.588235294117647,5.097463839698106,32.11,32.111172
10.0,10.0,154.4133708970593,-19.852941176470587,0.147058823529411,0.0,29.0,29.001352
-8.264699011967865,10.0,154.4133708970593,-1.4411833409733124,0.294117647058823,1.3784804804286168,28.1,28.100788
-2.056444176175038,10.0,154.4133708970593,-7.6494381767661395,0.294117647058823,1.3782046769584,36.17,36.171066
-10.0,10.0,154.4133708970593,0.8823529411764692,0.8823529411764699,0.0,46.5,46.501453
-4.328137967540348,10.0,154.4133708970593,-4.250293405008672,1.42156862745098,1.126223548846402,47.85,72.029007
-4.233728580517341,10.0,154.4133708970593,-2.6780361253650113,3.088235294117647,2.397907932306657,45.68,45.681175
-10.0,10.0,154.4133708970593,4.509803921568627,4.509803921568627,0.0,43.61,43.611084
-10.0,10.0,154.4133708970593,5.049019607843137,5.049019607843137,5.413170674304463,40.0,25.000334
-10.0,10.0,154.4133708970593,8.431372549019606,8.431372549019608,9.618530147528812,36.17,24.00075
-2.0725553098700225,10.0,154.4133708970593,1.680398447124924,9.607843137254902,10.0,32.64,23.900389
3.0278460523285604,10.0,154.4133708970593,-3.469022522916796,9.558823529411764,8.512563564056935,31.43,23.900389
10.0,10.0,154.4133708970593,-10.441176470588236,9.558823529411764,8.888138457526649,31.1,31.100882
10.0,10.0,154.4133708970593,-10.441176470588236,9.558823529411764,8.760766996286243,32.59,32.590225
6.063978525620447,10.0,154.4133708970593,-6.3580961726792715,9.705882352941176,8.410152137753933,42.85,42.851025
-9.759993933715785,10.0,154.4133708970593,9.61293511018637,9.852941176470587,8.873553868180004,40.72,40.720718
-10.0,10.0,154.4133708970593,9.803921568627452,9.803921568627452,9.621729720695752,28.33,24.40085
-10.0,10.0,154.4133708970593,9.509803921568626,9.509803921568627,8.824387247199668,27.64,23.500288
-10.0,10.0,154.4133708970593,9.754901960784313,9.754901960784313,8.42737277703199,27.55,23.500288
-10.0,10.0,154.4133708970593,9.705882352941174,9.705882352941176,7.268123537699331,26.9,23.500288
-10.0,10.0,154.4133708970593,8.57843137254902,8.57843137254902,9.702245653971731,26.41,23.001163
-3.040614756067748,10.0,154.4133708970593,-2.35154210667735,4.607843137254902,2.798332787889748,26.07,22.999826
-2.638956285371735,10.0,154.4133708970593,-5.155161361687089,2.205882352941176,3.2034264848118186,26.01,22.999826
-2.552228713806657,10.0,154.4133708970593,-2.986986972467853,4.46078431372549,3.073126899334288,25.81,22.999826
-7.704274358494307,10.0,154.4133708970593,2.4101567114354836,4.705882352941176,4.30544188496166,25.89,22.999826
